sheet	cell	v0.4.2_value	v0.5_value
START HERE	A1	'TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.4.2 PHASE 4 SP+ CORRECTION — PENDING APPROVAL)'	'TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.5 PHASE 5 FCS + REVIEW BUILD — PENDING APPROVAL)'
START HERE	A3	'PHASE 4 STATE: verified SP+, FPI, and TeamRankings 2026 preseason ratings are loaded for all 138 teams (PRESEASON, raw + date + citation; blend renormalizes over these three sources, available weight 0.70). Still unavailable or unpopulated: TTW independent 2025 prior (source access blocked - see CHANGELOG), VSiN (user-supplied, not provided), QB values (depth charts not yet published), market lines, and in-season statistics. Games correctly report PENDING LINE or a data-quality block until those load.'	'PHASE 5 STATE: FCS opponent-rating framework loaded (100/100 verified named ratings from 2025 ESPN results; see DICTIONARY). SP+, FPI, TeamRankings preseason ratings loaded for all 138 teams (blend weight 0.70). Still blocked/unpopulated: TTW independent 2025 prior (release-asset access blocked - exact file + retrieval steps in deliverables), VSiN (user-supplied, not provided), QB values (all 138 teams UNCERTAIN - no verifiable starter source published yet; see unresolved-QB report), market lines, in-season statistics. NDSU and Sacramento State remain transitional/NOT review-cleared (0 completed 2026 FBS games; safeguards validated intact). Games correctly report PENDING LINE, FCS/TRANSITION UNCERTAIN, QB UNCERTAIN, or a data-quality block until those load.'
FCS TIERS	A2	'NDSU and Sacramento State are FBS-reclassifying and NEVER use this framework. Tier values remain BLANK — verified FCS ratings are deferred pending an authorized source load; FCS games stay blocked/uncertain until then. Named overrides beat tier assignment.'	'NDSU and Sacramento State are FBS-reclassifying and NEVER use this framework. Named-override ratings (J:M) are loaded for all 100 FCS opponents on the approved 2026 schedule (methodology in DICTIONARY); tier values (A:D) are a documented evidence-based fallback for any opponent not individually named - none of the current 100 need it. Named overrides beat tier assignment.'
FCS TIERS	B6	None	-8.3
FCS TIERS	C6	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games; quartile bucket of 32 rated non-FBS teams in the full 2025 graph, range -15.1 to 6.7. FALLBACK ONLY - none of the 100 current 2026-schedule FCS opponents use this; all resolved via the named-override table (J:M).'
FCS TIERS	D6	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J6	None	'Abilene Christian Wildcats'
FCS TIERS	K6	None	-8.58
FCS TIERS	L6	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=14 2025 games)'
FCS TIERS	M6	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	B7	None	-19.4
FCS TIERS	C7	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games; quartile bucket of 32 rated non-FBS teams in the full 2025 graph, range -22.2 to -15.3. FALLBACK ONLY - none of the 100 current 2026-schedule FCS opponents use this; all resolved via the named-override table (J:M).'
FCS TIERS	D7	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J7	None	'Alabama State Hornets'
FCS TIERS	K7	None	-12.3
FCS TIERS	L7	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M7	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	B8	None	-25.2
FCS TIERS	C8	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games; quartile bucket of 32 rated non-FBS teams in the full 2025 graph, range -28.7 to -22.5. FALLBACK ONLY - none of the 100 current 2026-schedule FCS opponents use this; all resolved via the named-override table (J:M).'
FCS TIERS	D8	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J8	None	'Alcorn State Braves'
FCS TIERS	K8	None	-26.83
