abbrev,team,conference,row,projected_qb,confidence,baseline_value,active_value,note,last_verified,backlog_reason,recheck_trigger
CSU,Colorado State,Pac-12,74,Hauss Hejny,L,,,transfer / competition | prev: Oklahoma State (also TCU) | O,2026-07-21,never live-verified,team-specific beat/official sourcing
FRES,Fresno State,Pac-12,75,Khristian Martin,L,,,transfer / competition | prev: Maryland | OPEN COMPETITION —,2026-07-21,never live-verified,team-specific beat/official sourcing
ORST,Oregon State,Pac-12,76,Maalik Murphy,L,,,returning / competition | OPEN COMPETITION — candidates: Maa,2026-07-21,never live-verified,team-specific beat/official sourcing
TXST,Texas State,Pac-12,78,Brad Jackson,M,0,0,returning starter | 2025: Emerged at Texas State in 2025 | p,2026-07-21,never live-verified,team-specific beat/official sourcing
USU,Utah State,Pac-12,79,McCae Hillstead,M,0,0,transfer (returnee) | prev: BYU | 2025: BYU (prior) | projec,2026-07-21,never live-verified,team-specific beat/official sourcing
WSU,Washington State,Pac-12,80,Caden Pinnick,M,0,0,"transfer | prev: UC Davis | 2025: UC Davis (FCS, prior) | pr",2026-07-21,never live-verified,team-specific beat/official sourcing
ECU,East Carolina,American,83,Chaston Ditta,M,0,0,backup promotion | 2025: Started 2025 Military Bowl | projec,2026-07-21,never live-verified,team-specific beat/official sourcing
NAVY,Navy,American,86,Braxton Woodson,M,0,0,backup promotion | 2025: Some starts 2023-25 | projected pro,2026-07-21,never live-verified,team-specific beat/official sourcing
UNT,North Texas,American,87,Tayven Jackson,M,0,0,"transfer | prev: UCF (also Tennessee, Indiana) | 2025: Prior",2026-07-21,never live-verified,team-specific beat/official sourcing
RICE,Rice,American,88,Jacurri Brown,M,0,0,transfer (prev school to confirm) | 2025: partial | projecte,2026-07-21,never live-verified,team-specific beat/official sourcing
TEM,Temple,American,90,Jaxon Smolik,M,0,0,returning starter | prev: Dayton (prior) | 2025: Temple 2025,2026-07-21,never live-verified,team-specific beat/official sourcing
TLSA,Tulsa,American,92,Baylor Hayes,M,0,0,projected starter (status to confirm) | 2025: partial | proj,2026-07-21,never live-verified,team-specific beat/official sourcing
FIU,FIU,Conference USA,96,JJ Kohl,M,0,0,transfer | prev: Appalachian State | 2025: App State (prior),2026-07-21,never live-verified,team-specific beat/official sourcing
KENN,Kennesaw State,Conference USA,98,Rickie Collins,M,0,0,transfer | prev: Syracuse | 2025: Syracuse (prior) | project,2026-07-21,never live-verified,team-specific beat/official sourcing
MOST,Missouri State,Conference USA,101,Open competition,L,,,open competition | OPEN COMPETITION — candidates: TBD (open ,2026-07-21,never live-verified,team-specific beat/official sourcing
NMSU,New Mexico State,Conference USA,102,Open competition,L,,,open competition | OPEN COMPETITION — candidates: TBD (rebui,2026-07-21,never live-verified,team-specific beat/official sourcing
BUFF,Buffalo,MAC,108,Open (Elijah Holmes / CJ Ogbonna),L,,,open competition | prev: Elijah Holmes: Division II | OPEN C,2026-07-21,never live-verified,team-specific beat/official sourcing
M-OH,Miami (OH),MAC,112,Thomas Gotkowski,L,,,backup promotion / competition | OPEN COMPETITION — candidat,2026-07-21,OPEN CONFLICT (7D.2): candidate lists Thomas Gotkowski; another report referenced a Kansas transfer as projected starter,Miami OH official roster/depth chart or Chuck Martin-era staff presser naming QB1
SAC,Sacramento State,MAC,114,Carson Conklin,M,0,0,transfer (returnee) | prev: Fresno State (2025) | 2025: At F,2026-07-21,never live-verified,team-specific beat/official sourcing
NEV,Nevada,Mountain West,120,Carter Jones,L,,,competition | OPEN COMPETITION — candidates: Carter Jones; L,2026-07-21,never live-verified,team-specific beat/official sourcing
NDSU,North Dakota State,Mountain West,122,Nathan Hayes,M,0,0,first-time starter (returning backup) | 2025: No prior colle,2026-07-21,never live-verified,team-specific beat/official sourcing
NIU,Northern Illinois,Mountain West,123,Open (Davidson / Macon / Hamric),L,,,open competition | prev: Ean Hamric: Charleston | OPEN COMPE,2026-07-21,never live-verified,team-specific beat/official sourcing
SJSU,San José State,Mountain West,124,Luke Weaver,L,,,transfer / competition | prev: Hawaii | OPEN COMPETITION — c,2026-07-21,never live-verified,team-specific beat/official sourcing
UTEP,UTEP,Mountain West,126,EJ Colson,M,0,0,transfer | prev: Incarnate Word (also UCF) | 2025: Incarnate,2026-07-21,never live-verified,team-specific beat/official sourcing
WYO,Wyoming,Mountain West,127,Tyler Hughes,M,0,0,transfer | prev: William & Mary | 2025: William & Mary (prio,2026-07-21,never live-verified,team-specific beat/official sourcing
APP,Appalachian State,Sun Belt,128,Malachi Singleton,M,0,0,transfer | prev: Purdue (also Arkansas) | 2025: Purdue (prio,2026-07-21,never live-verified,team-specific beat/official sourcing
ARST,Arkansas State,Sun Belt,129,Open (Owens / Dickey / St. Hilare / Haly),L,,,open competition | prev: multiple (see candidates) | OPEN CO,2026-07-21,never live-verified,team-specific beat/official sourcing
CCU,Coastal Carolina,Sun Belt,130,Open (Jackson / Guerra / Bailey / Lopez),L,,,open competition | prev: multiple (see candidates) | OPEN CO,2026-07-21,never live-verified,team-specific beat/official sourcing
GASO,Georgia Southern,Sun Belt,131,Open (Weston Bryan / Turner Helton),L,,,open competition | OPEN COMPETITION — candidates: Weston Bry,2026-07-21,never live-verified,team-specific beat/official sourcing
JMU,James Madison,Sun Belt,133,Arrington Maiden,M,0,0,transfer / competition | prev: Memphis | 2025: Memphis (prio,2026-07-21,never live-verified,team-specific beat/official sourcing
ODU,Old Dominion,Sun Belt,137,Quinn Henicle,M,0,0,"backup promotion | 2025: 2 starts (both wins), dual-threat |",2026-07-21,never live-verified,team-specific beat/official sourcing
