sheet	cell	v0.6.1_value	v0.6.2_value
START HERE	A1	'TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.6.1 PHASE 6 CORRECTION + TEST-COMPLETION BUILD — PENDING APPROVAL)'	'TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.6.2 PHASE 6.2 DATA-INCOMPLETE PATHWAY REPAIR — PENDING APPROVAL)'
CLEAN	C6	'=IF($A6="","",\'IMPORT SCHEDULE\'!C6)'	'=IF($A6="","",IF(\'IMPORT SCHEDULE\'!C6="","",\'IMPORT SCHEDULE\'!C6))'
CLEAN	D6	'=IF($A6="","",\'IMPORT SCHEDULE\'!D6)'	'=IF($A6="","",IF(\'IMPORT SCHEDULE\'!D6="","",\'IMPORT SCHEDULE\'!D6))'
CLEAN	C7	'=IF($A7="","",\'IMPORT SCHEDULE\'!C7)'	'=IF($A7="","",IF(\'IMPORT SCHEDULE\'!C7="","",\'IMPORT SCHEDULE\'!C7))'
CLEAN	D7	'=IF($A7="","",\'IMPORT SCHEDULE\'!D7)'	'=IF($A7="","",IF(\'IMPORT SCHEDULE\'!D7="","",\'IMPORT SCHEDULE\'!D7))'
CLEAN	C8	'=IF($A8="","",\'IMPORT SCHEDULE\'!C8)'	'=IF($A8="","",IF(\'IMPORT SCHEDULE\'!C8="","",\'IMPORT SCHEDULE\'!C8))'
CLEAN	D8	'=IF($A8="","",\'IMPORT SCHEDULE\'!D8)'	'=IF($A8="","",IF(\'IMPORT SCHEDULE\'!D8="","",\'IMPORT SCHEDULE\'!D8))'
CLEAN	C9	'=IF($A9="","",\'IMPORT SCHEDULE\'!C9)'	'=IF($A9="","",IF(\'IMPORT SCHEDULE\'!C9="","",\'IMPORT SCHEDULE\'!C9))'
CLEAN	D9	'=IF($A9="","",\'IMPORT SCHEDULE\'!D9)'	'=IF($A9="","",IF(\'IMPORT SCHEDULE\'!D9="","",\'IMPORT SCHEDULE\'!D9))'
CLEAN	C10	'=IF($A10="","",\'IMPORT SCHEDULE\'!C10)'	'=IF($A10="","",IF(\'IMPORT SCHEDULE\'!C10="","",\'IMPORT SCHEDULE\'!C10))'
CLEAN	D10	'=IF($A10="","",\'IMPORT SCHEDULE\'!D10)'	'=IF($A10="","",IF(\'IMPORT SCHEDULE\'!D10="","",\'IMPORT SCHEDULE\'!D10))'
CLEAN	C11	'=IF($A11="","",\'IMPORT SCHEDULE\'!C11)'	'=IF($A11="","",IF(\'IMPORT SCHEDULE\'!C11="","",\'IMPORT SCHEDULE\'!C11))'
CLEAN	D11	'=IF($A11="","",\'IMPORT SCHEDULE\'!D11)'	'=IF($A11="","",IF(\'IMPORT SCHEDULE\'!D11="","",\'IMPORT SCHEDULE\'!D11))'
CLEAN	C12	'=IF($A12="","",\'IMPORT SCHEDULE\'!C12)'	'=IF($A12="","",IF(\'IMPORT SCHEDULE\'!C12="","",\'IMPORT SCHEDULE\'!C12))'
CLEAN	D12	'=IF($A12="","",\'IMPORT SCHEDULE\'!D12)'	'=IF($A12="","",IF(\'IMPORT SCHEDULE\'!D12="","",\'IMPORT SCHEDULE\'!D12))'
CLEAN	C13	'=IF($A13="","",\'IMPORT SCHEDULE\'!C13)'	'=IF($A13="","",IF(\'IMPORT SCHEDULE\'!C13="","",\'IMPORT SCHEDULE\'!C13))'
CLEAN	D13	'=IF($A13="","",\'IMPORT SCHEDULE\'!D13)'	'=IF($A13="","",IF(\'IMPORT SCHEDULE\'!D13="","",\'IMPORT SCHEDULE\'!D13))'
CLEAN	C14	'=IF($A14="","",\'IMPORT SCHEDULE\'!C14)'	'=IF($A14="","",IF(\'IMPORT SCHEDULE\'!C14="","",\'IMPORT SCHEDULE\'!C14))'
CLEAN	D14	'=IF($A14="","",\'IMPORT SCHEDULE\'!D14)'	'=IF($A14="","",IF(\'IMPORT SCHEDULE\'!D14="","",\'IMPORT SCHEDULE\'!D14))'
CLEAN	C15	'=IF($A15="","",\'IMPORT SCHEDULE\'!C15)'	'=IF($A15="","",IF(\'IMPORT SCHEDULE\'!C15="","",\'IMPORT SCHEDULE\'!C15))'
CLEAN	D15	'=IF($A15="","",\'IMPORT SCHEDULE\'!D15)'	'=IF($A15="","",IF(\'IMPORT SCHEDULE\'!D15="","",\'IMPORT SCHEDULE\'!D15))'
CLEAN	C16	'=IF($A16="","",\'IMPORT SCHEDULE\'!C16)'	'=IF($A16="","",IF(\'IMPORT SCHEDULE\'!C16="","",\'IMPORT SCHEDULE\'!C16))'
CLEAN	D16	'=IF($A16="","",\'IMPORT SCHEDULE\'!D16)'	'=IF($A16="","",IF(\'IMPORT SCHEDULE\'!D16="","",\'IMPORT SCHEDULE\'!D16))'
CLEAN	C17	'=IF($A17="","",\'IMPORT SCHEDULE\'!C17)'	'=IF($A17="","",IF(\'IMPORT SCHEDULE\'!C17="","",\'IMPORT SCHEDULE\'!C17))'
CLEAN	D17	'=IF($A17="","",\'IMPORT SCHEDULE\'!D17)'	'=IF($A17="","",IF(\'IMPORT SCHEDULE\'!D17="","",\'IMPORT SCHEDULE\'!D17))'
CLEAN	C18	'=IF($A18="","",\'IMPORT SCHEDULE\'!C18)'	'=IF($A18="","",IF(\'IMPORT SCHEDULE\'!C18="","",\'IMPORT SCHEDULE\'!C18))'
CLEAN	D18	'=IF($A18="","",\'IMPORT SCHEDULE\'!D18)'	'=IF($A18="","",IF(\'IMPORT SCHEDULE\'!D18="","",\'IMPORT SCHEDULE\'!D18))'
CLEAN	C19	'=IF($A19="","",\'IMPORT SCHEDULE\'!C19)'	'=IF($A19="","",IF(\'IMPORT SCHEDULE\'!C19="","",\'IMPORT SCHEDULE\'!C19))'
CLEAN	D19	'=IF($A19="","",\'IMPORT SCHEDULE\'!D19)'	'=IF($A19="","",IF(\'IMPORT SCHEDULE\'!D19="","",\'IMPORT SCHEDULE\'!D19))'
CLEAN	C20	'=IF($A20="","",\'IMPORT SCHEDULE\'!C20)'	'=IF($A20="","",IF(\'IMPORT SCHEDULE\'!C20="","",\'IMPORT SCHEDULE\'!C20))'
CLEAN	D20	'=IF($A20="","",\'IMPORT SCHEDULE\'!D20)'	'=IF($A20="","",IF(\'IMPORT SCHEDULE\'!D20="","",\'IMPORT SCHEDULE\'!D20))'
CLEAN	C21	'=IF($A21="","",\'IMPORT SCHEDULE\'!C21)'	'=IF($A21="","",IF(\'IMPORT SCHEDULE\'!C21="","",\'IMPORT SCHEDULE\'!C21))'
CLEAN	D21	'=IF($A21="","",\'IMPORT SCHEDULE\'!D21)'	'=IF($A21="","",IF(\'IMPORT SCHEDULE\'!D21="","",\'IMPORT SCHEDULE\'!D21))'
CLEAN	C22	'=IF($A22="","",\'IMPORT SCHEDULE\'!C22)'	'=IF($A22="","",IF(\'IMPORT SCHEDULE\'!C22="","",\'IMPORT SCHEDULE\'!C22))'
CLEAN	D22	'=IF($A22="","",\'IMPORT SCHEDULE\'!D22)'	'=IF($A22="","",IF(\'IMPORT SCHEDULE\'!D22="","",\'IMPORT SCHEDULE\'!D22))'
CLEAN	C23	'=IF($A23="","",\'IMPORT SCHEDULE\'!C23)'	'=IF($A23="","",IF(\'IMPORT SCHEDULE\'!C23="","",\'IMPORT SCHEDULE\'!C23))'
CLEAN	D23	'=IF($A23="","",\'IMPORT SCHEDULE\'!D23)'	'=IF($A23="","",IF(\'IMPORT SCHEDULE\'!D23="","",\'IMPORT SCHEDULE\'!D23))'
CLEAN	C24	'=IF($A24="","",\'IMPORT SCHEDULE\'!C24)'	'=IF($A24="","",IF(\'IMPORT SCHEDULE\'!C24="","",\'IMPORT SCHEDULE\'!C24))'
CLEAN	D24	'=IF($A24="","",\'IMPORT SCHEDULE\'!D24)'	'=IF($A24="","",IF(\'IMPORT SCHEDULE\'!D24="","",\'IMPORT SCHEDULE\'!D24))'
CLEAN	C25	'=IF($A25="","",\'IMPORT SCHEDULE\'!C25)'	'=IF($A25="","",IF(\'IMPORT SCHEDULE\'!C25="","",\'IMPORT SCHEDULE\'!C25))'
CLEAN	D25	'=IF($A25="","",\'IMPORT SCHEDULE\'!D25)'	'=IF($A25="","",IF(\'IMPORT SCHEDULE\'!D25="","",\'IMPORT SCHEDULE\'!D25))'
CLEAN	C26	'=IF($A26="","",\'IMPORT SCHEDULE\'!C26)'	'=IF($A26="","",IF(\'IMPORT SCHEDULE\'!C26="","",\'IMPORT SCHEDULE\'!C26))'
CLEAN	D26	'=IF($A26="","",\'IMPORT SCHEDULE\'!D26)'	'=IF($A26="","",IF(\'IMPORT SCHEDULE\'!D26="","",\'IMPORT SCHEDULE\'!D26))'
CLEAN	C27	'=IF($A27="","",\'IMPORT SCHEDULE\'!C27)'	'=IF($A27="","",IF(\'IMPORT SCHEDULE\'!C27="","",\'IMPORT SCHEDULE\'!C27))'
CLEAN	D27	'=IF($A27="","",\'IMPORT SCHEDULE\'!D27)'	'=IF($A27="","",IF(\'IMPORT SCHEDULE\'!D27="","",\'IMPORT SCHEDULE\'!D27))'
CLEAN	C28	'=IF($A28="","",\'IMPORT SCHEDULE\'!C28)'	'=IF($A28="","",IF(\'IMPORT SCHEDULE\'!C28="","",\'IMPORT SCHEDULE\'!C28))'
CLEAN	D28	'=IF($A28="","",\'IMPORT SCHEDULE\'!D28)'	'=IF($A28="","",IF(\'IMPORT SCHEDULE\'!D28="","",\'IMPORT SCHEDULE\'!D28))'
CLEAN	C29	'=IF($A29="","",\'IMPORT SCHEDULE\'!C29)'	'=IF($A29="","",IF(\'IMPORT SCHEDULE\'!C29="","",\'IMPORT SCHEDULE\'!C29))'
CLEAN	D29	'=IF($A29="","",\'IMPORT SCHEDULE\'!D29)'	'=IF($A29="","",IF(\'IMPORT SCHEDULE\'!D29="","",\'IMPORT SCHEDULE\'!D29))'
CLEAN	C30	'=IF($A30="","",\'IMPORT SCHEDULE\'!C30)'	'=IF($A30="","",IF(\'IMPORT SCHEDULE\'!C30="","",\'IMPORT SCHEDULE\'!C30))'
CLEAN	D30	'=IF($A30="","",\'IMPORT SCHEDULE\'!D30)'	'=IF($A30="","",IF(\'IMPORT SCHEDULE\'!D30="","",\'IMPORT SCHEDULE\'!D30))'
CLEAN	C31	'=IF($A31="","",\'IMPORT SCHEDULE\'!C31)'	'=IF($A31="","",IF(\'IMPORT SCHEDULE\'!C31="","",\'IMPORT SCHEDULE\'!C31))'
CLEAN	D31	'=IF($A31="","",\'IMPORT SCHEDULE\'!D31)'	'=IF($A31="","",IF(\'IMPORT SCHEDULE\'!D31="","",\'IMPORT SCHEDULE\'!D31))'
CLEAN	C32	'=IF($A32="","",\'IMPORT SCHEDULE\'!C32)'	'=IF($A32="","",IF(\'IMPORT SCHEDULE\'!C32="","",\'IMPORT SCHEDULE\'!C32))'
