row,abbrev,team,baseline_qb,baseline_value,active_qb,active_value,confidence,source,reviewed_for_season,last_update,note,verification_status
6,ALA,Alabama,,,Keelon Russell,,L,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp QB intel (2026-08-04) confirms the entry - Keelon Russell (2nd-year freshman, former No. 2 overall recruit) vs Austin Mack (RS junior, system experience). Russell only SLIGHTLY favored (characterized as 55-45 to 60-40); status UNDECIDED with the competition ongoing into fall camp; 'Russell will have to improve his consistency' to secure the job. Genuine competition, no leader established by the staff -> L retained; values blank; UNCERTAIN.",VERIFIED 7D.5
7,ARK,Arkansas,KJ Jackson,,Open (KJ Jackson / AJ Hill),,L,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-08-03,"DEFECT CORRECTED 2026-08-03: prior entry asserted KJ Jackson as likely starter (M). HC Ryan Silverfield (Whole Hog Sports, 2026-08-03) says the KJ Jackson vs AJ Hill battle 'could last until the Sept. 5 opener vs North Alabama'; he and OC Tim Cramsey called it 'wide open' in February. Jackson: RS-So, 4-star 2024, 33/54 441yds 3TD 0INT in 2025. Hill: RS-Fr, Memphis transfer (followed Silverfield), 4-star 2025, two years in Cramsey's system. Genuine open competition -> L. Numerical zeros CLEARED to blank per the approved Akron consistency methodology.",VERIFIED 7D.3A
8,AUB,Auburn,Byrum Brown,0,Byrum Brown (USF transfer),0,M,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: Byrum Brown CONFIRMED as Auburn's quarterback - a USF transfer who followed HC Alex Golesh from Tampa and was among the most sought-after players in the portal. 2025 at USF: 3,158 pass yds, 28 TD, 7 INT, leading the Bulls to 9-3. No competition reported and no formal naming located -> M retained (not H). Entry corroborated; zeros retained; status OK. RECHECK: official Auburn depth chart.",VERIFIED 7D.5
9,FLA,Florida,,,Aaron Philo,,L,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp intel (2026-08-04) confirms an open competition - Aaron Philo (Georgia Tech transfer, reunited with OC Buster Faulkner) vs Tramell Jones (RS freshman). Philo is FAVORED and 'holds the edge entering fall camp' on the strength of a more consistent spring, but NO starter has been named and the competition is live. Under the 7D.5 rule that a starter must not be inferred from a preseason projection, a media 'edge' characterization without a staff naming does not clear the M bar -> L retained (consistent with the Colorado State treatment); values blank; UNCERTAIN. RECHECK: Florida depth chart.",VERIFIED 7D.5
10,UGA,Georgia,Gunner Stockton,0,Gunner Stockton,0,H,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-07-21,"returning starter | 2025: 2025: 69.7% comp, 24 pass TD, 5 INT | established returning starter, no competition | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
11,UK,Kentucky,Kenny Minchey,0,Kenny Minchey (Notre Dame transfer),0,M,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: Kenny Minchey CONFIRMED as Kentucky's quarterback - a Notre Dame transfer after three seasons there (29 career pass attempts; lost the 2025 Notre Dame battle to CJ Carr), now running the offense for NEW HC WILL STEIN. Transfer brought in to start with no competition reported; no formal naming located -> M retained. Zeros retained; status OK. RECHECK: Kentucky depth chart.",VERIFIED 7D.5
12,LSU,LSU,Sam Leavitt,0,Sam Leavitt,0,H,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-07-21,"transfer | prev: Arizona State | 2025: ASU 2025: 10 pass TD, 3 INT (injury-shortened) | NOTE: Dealt with injury in 2025 | strong projected/expected QB1 (marquee transfer) | VALUE PENDING RUBRIC APPROVAL",verified 7A-7D
13,MSST,Mississippi State,Kamario Taylor,0,Kamario Taylor,0,H,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-08-03,"VERIFIED 2026-08-03: Kamario Taylor arrived at SEC Media Days as Mississippi State's 'unquestioned starter - no competition, no committee, no asterisk'; described as ENTRENCHED, with only the No.2 job open in fall camp. Confirmed on the official hailstate.com roster and in official MSU releases; new QB coach Kevin Johns calls him 'very, very special.' Production as a true freshman: 629 pass yds, 458 rush yds, 173 rush vs Ole Miss in his first career start. Settled starter -> H. Zero initialization RETAINED; status remains OK.",VERIFIED 7D.3A
14,MIZ,Missouri,Austin Simmons,0,Austin Simmons (OFFICIALLY NAMED 2026-03-19),0,H,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04 - OFFICIAL NAMING: HC Eli Drinkwitz NAMED Austin Simmons (Ole Miss transfer) Missouri's 2026 starting quarterback on 2026-03-19, right after spring camp and nearly six months before the 2026-09-03 opener vs Arkansas-Pine Bluff. Simmons beat out returning sophomore Matt Zollers and UConn transfer Nick Evers. Drinkwitz's stated reasoning: Simmons 'was better in managing the team in two-minute drills and end-of-game situations', and naming him early would 'allow him to develop relationships with our wide receivers, timing with the wide receivers and tight ends, and allow him to really establish himself as a leader.' Reaffirmed at SEC Media Days in July 2026. Prior entry read 'projected leader, some competition' - STALE, the competition had already been formally settled. An official naming with the competition closed meets the H standard -> M upgraded to H (same basis as UTEP). Zeros RETAINED (correct for H); status remains OK.",VERIFIED 7D.5
15,OU,Oklahoma,John Mateer,0,John Mateer,0,H,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-07-21,"returning starter | 2025: 2025: 14 pass TD, 11 INT, dual-threat; took 13 sacks in losses | established returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
16,MISS,Ole Miss,Trinidad Chambliss,0,Trinidad Chambliss,0,H,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-07-21,"returning starter | 2025: 2025: 22 pass TD, 3 INT (SEC passing leader) | NOTE: Received injunction/court ruling granting additional season of eligibility | established returning starter (eligibility secured) | VALUE PENDING RUBRIC APPROVAL",verified 7A-7D
17,SCAR,South Carolina,LaNorris Sellers,0,LaNorris Sellers,0,H,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-07-21,"returning starter | 2025: 2025: 13 pass TD, 8 INT; OL allowed 42 sacks | established returning starter | VALUE PENDING RUBRIC APPROVAL",verified 7A-7D
18,TENN,Tennessee,,,Faizon Brandon,,L,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp intel (2026-08-04) confirms the entry - Faizon Brandon (five-star true freshman) vs George MacIntyre (RS, most system time). Brandon is FAVORED and impressed evaluators ('This kid's got moxie... confidence'), but the competition is UNDECIDED entering fall camp. Genuine competition -> L retained; values blank; UNCERTAIN.",VERIFIED 7D.5
