sheet	cell	v0.5.1_value	v0.5.2_value
START HERE	A1	'TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.5.1 FBS-vs-FCS SCOPE CHANGE — PENDING APPROVAL)'	'TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.5.2 CORRECTION BUILD — PENDING APPROVAL)'
ENGINE	AI6	'=IF($A6="","",IF($AH6<>"","BLOCKED",IF($AG6<>"","FCS — NO PLAY",IF(CALC!$S6=1,"PENDING LINE",IF(CALC!$Q6=1,"STALE LINE",IF($AE6="QB UNCERTAIN","QB UNCERTAIN",IF($AF6<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B6="",$C6=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A6="","",IF($AH6<>"","BLOCKED",IF($AG6<>"","FCS — NO PLAY",IF(CALC!$S6=1,"PENDING LINE",IF(CALC!$Q6=1,"STALE LINE",IF($AE6="QB UNCERTAIN","QB UNCERTAIN",IF($AF6<>"","TRANSITION UNCERTAIN",IF(OR($B6="",$C6=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI7	'=IF($A7="","",IF($AH7<>"","BLOCKED",IF($AG7<>"","FCS — NO PLAY",IF(CALC!$S7=1,"PENDING LINE",IF(CALC!$Q7=1,"STALE LINE",IF($AE7="QB UNCERTAIN","QB UNCERTAIN",IF($AF7<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B7="",$C7=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A7="","",IF($AH7<>"","BLOCKED",IF($AG7<>"","FCS — NO PLAY",IF(CALC!$S7=1,"PENDING LINE",IF(CALC!$Q7=1,"STALE LINE",IF($AE7="QB UNCERTAIN","QB UNCERTAIN",IF($AF7<>"","TRANSITION UNCERTAIN",IF(OR($B7="",$C7=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI8	'=IF($A8="","",IF($AH8<>"","BLOCKED",IF($AG8<>"","FCS — NO PLAY",IF(CALC!$S8=1,"PENDING LINE",IF(CALC!$Q8=1,"STALE LINE",IF($AE8="QB UNCERTAIN","QB UNCERTAIN",IF($AF8<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B8="",$C8=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A8="","",IF($AH8<>"","BLOCKED",IF($AG8<>"","FCS — NO PLAY",IF(CALC!$S8=1,"PENDING LINE",IF(CALC!$Q8=1,"STALE LINE",IF($AE8="QB UNCERTAIN","QB UNCERTAIN",IF($AF8<>"","TRANSITION UNCERTAIN",IF(OR($B8="",$C8=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI9	'=IF($A9="","",IF($AH9<>"","BLOCKED",IF($AG9<>"","FCS — NO PLAY",IF(CALC!$S9=1,"PENDING LINE",IF(CALC!$Q9=1,"STALE LINE",IF($AE9="QB UNCERTAIN","QB UNCERTAIN",IF($AF9<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B9="",$C9=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A9="","",IF($AH9<>"","BLOCKED",IF($AG9<>"","FCS — NO PLAY",IF(CALC!$S9=1,"PENDING LINE",IF(CALC!$Q9=1,"STALE LINE",IF($AE9="QB UNCERTAIN","QB UNCERTAIN",IF($AF9<>"","TRANSITION UNCERTAIN",IF(OR($B9="",$C9=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI10	'=IF($A10="","",IF($AH10<>"","BLOCKED",IF($AG10<>"","FCS — NO PLAY",IF(CALC!$S10=1,"PENDING LINE",IF(CALC!$Q10=1,"STALE LINE",IF($AE10="QB UNCERTAIN","QB UNCERTAIN",IF($AF10<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B10="",$C10=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A10="","",IF($AH10<>"","BLOCKED",IF($AG10<>"","FCS — NO PLAY",IF(CALC!$S10=1,"PENDING LINE",IF(CALC!$Q10=1,"STALE LINE",IF($AE10="QB UNCERTAIN","QB UNCERTAIN",IF($AF10<>"","TRANSITION UNCERTAIN",IF(OR($B10="",$C10=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI11	'=IF($A11="","",IF($AH11<>"","BLOCKED",IF($AG11<>"","FCS — NO PLAY",IF(CALC!$S11=1,"PENDING LINE",IF(CALC!$Q11=1,"STALE LINE",IF($AE11="QB UNCERTAIN","QB UNCERTAIN",IF($AF11<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B11="",$C11=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A11="","",IF($AH11<>"","BLOCKED",IF($AG11<>"","FCS — NO PLAY",IF(CALC!$S11=1,"PENDING LINE",IF(CALC!$Q11=1,"STALE LINE",IF($AE11="QB UNCERTAIN","QB UNCERTAIN",IF($AF11<>"","TRANSITION UNCERTAIN",IF(OR($B11="",$C11=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI12	'=IF($A12="","",IF($AH12<>"","BLOCKED",IF($AG12<>"","FCS — NO PLAY",IF(CALC!$S12=1,"PENDING LINE",IF(CALC!$Q12=1,"STALE LINE",IF($AE12="QB UNCERTAIN","QB UNCERTAIN",IF($AF12<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B12="",$C12=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A12="","",IF($AH12<>"","BLOCKED",IF($AG12<>"","FCS — NO PLAY",IF(CALC!$S12=1,"PENDING LINE",IF(CALC!$Q12=1,"STALE LINE",IF($AE12="QB UNCERTAIN","QB UNCERTAIN",IF($AF12<>"","TRANSITION UNCERTAIN",IF(OR($B12="",$C12=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI13	'=IF($A13="","",IF($AH13<>"","BLOCKED",IF($AG13<>"","FCS — NO PLAY",IF(CALC!$S13=1,"PENDING LINE",IF(CALC!$Q13=1,"STALE LINE",IF($AE13="QB UNCERTAIN","QB UNCERTAIN",IF($AF13<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B13="",$C13=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A13="","",IF($AH13<>"","BLOCKED",IF($AG13<>"","FCS — NO PLAY",IF(CALC!$S13=1,"PENDING LINE",IF(CALC!$Q13=1,"STALE LINE",IF($AE13="QB UNCERTAIN","QB UNCERTAIN",IF($AF13<>"","TRANSITION UNCERTAIN",IF(OR($B13="",$C13=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI14	'=IF($A14="","",IF($AH14<>"","BLOCKED",IF($AG14<>"","FCS — NO PLAY",IF(CALC!$S14=1,"PENDING LINE",IF(CALC!$Q14=1,"STALE LINE",IF($AE14="QB UNCERTAIN","QB UNCERTAIN",IF($AF14<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B14="",$C14=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A14="","",IF($AH14<>"","BLOCKED",IF($AG14<>"","FCS — NO PLAY",IF(CALC!$S14=1,"PENDING LINE",IF(CALC!$Q14=1,"STALE LINE",IF($AE14="QB UNCERTAIN","QB UNCERTAIN",IF($AF14<>"","TRANSITION UNCERTAIN",IF(OR($B14="",$C14=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI15	'=IF($A15="","",IF($AH15<>"","BLOCKED",IF($AG15<>"","FCS — NO PLAY",IF(CALC!$S15=1,"PENDING LINE",IF(CALC!$Q15=1,"STALE LINE",IF($AE15="QB UNCERTAIN","QB UNCERTAIN",IF($AF15<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B15="",$C15=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A15="","",IF($AH15<>"","BLOCKED",IF($AG15<>"","FCS — NO PLAY",IF(CALC!$S15=1,"PENDING LINE",IF(CALC!$Q15=1,"STALE LINE",IF($AE15="QB UNCERTAIN","QB UNCERTAIN",IF($AF15<>"","TRANSITION UNCERTAIN",IF(OR($B15="",$C15=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI16	'=IF($A16="","",IF($AH16<>"","BLOCKED",IF($AG16<>"","FCS — NO PLAY",IF(CALC!$S16=1,"PENDING LINE",IF(CALC!$Q16=1,"STALE LINE",IF($AE16="QB UNCERTAIN","QB UNCERTAIN",IF($AF16<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B16="",$C16=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A16="","",IF($AH16<>"","BLOCKED",IF($AG16<>"","FCS — NO PLAY",IF(CALC!$S16=1,"PENDING LINE",IF(CALC!$Q16=1,"STALE LINE",IF($AE16="QB UNCERTAIN","QB UNCERTAIN",IF($AF16<>"","TRANSITION UNCERTAIN",IF(OR($B16="",$C16=""),"DATA INCOMPLETE","READY"))))))))'
