team,abbrev,conference,current_category,current_confidence,current_candidates,current_leader,baseline_qb_assumption,condition_to_clear,best_source_types,most_recent_source,most_recent_source_url,most_recent_source_date,next_research_checkpoint,next_research_date,last_checked_date,final_resolution,resolution_source,resolution_date,confidence_after_resolution,eligible_for_zero_init,requires_proposed_nonzero_deviation,notes
Alabama,ALA,SEC,open competition,L,"Keelon Russell (RS Fr, slight leader) | Austin Mack (RS, dinged up)",Keelon Russell,"Keelon Russell (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Sports Illustrated (2026 offseason),https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Arkansas State,ARST,Sun Belt,open competition,L,Trey Owens (Texas) | Drew Dickey (Vanderbilt) | Jeremy St. Hilare (Vanderbilt) | Jaden Haly (Sacred Heart),,Not established (competition unresolved),Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,College Football News Arkansas State preview (2026 offseason),https://collegefootballnews.com/college-football/arkansas-state-football-preview-2026,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Ball State,BALL,MAC,open competition,L,"Keldric Luster (Texas State transfer, dual-threat) | Tyler Mizzell (Concord D-II transfer, pass-first)",Keldric Luster,"Keldric Luster (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,College Football News / Hustle Belt (2026 offseason),https://collegefootballnews.com/college-football/ball-state-football-preview-2026,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Buffalo,BUFF,MAC,open competition,L,Elijah Holmes (D-II transfer) | CJ Ogbonna | (3-way to replace Ta'Quan Roberson),,Not established (competition unresolved),Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Black Shoe Diaries / ESPN roster (2026 offseason),https://www.blackshoediaries.com/penn-state-football/87803/2026-opponent-snapshot-buffalo-bulls,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Coastal Carolina,CCU,Sun Belt,open competition,L,Trever Jackson (Arkansas transfer) | Tre Guerra (Tyler JC) | Deuce Bailey (Missouri State transfer) | Osiris Lopez (Fr),,Not established (competition unresolved),Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Coastal Carolina Athletics / Yahoo (2026-07-09),https://goccusports.com/news/2026/7/9/ryan-beard-previews-fall-camp-coastal-carolina-football-2026,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Central Michigan,CMU,MAC,open competition,L,Angel Flores (Sr) | Marcus Beamon (Sr) | Jadyn Glasser (RS Fr),,Not established (competition unresolved),Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Mitten Football (2026 offseason),https://mitten-football.ghost.io/the-good-problem-for-central-michigan-at-qb-and-what-to-expect-come-fall/,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Colorado State,CSU,Pac-12,open competition,L,Hauss Hejny (Oklahoma State/TCU transfer) | Ksaan Farrar (UConn RS Fr transfer),Hauss Hejny,"Hauss Hejny (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Athlon/ESPN/CBS Pac-12 2026 previews (2026 offseason),https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Florida,FLA,SEC,open competition,L,"Aaron Philo (Georgia Tech transfer, w/ OC Buster Faulkner) | Tramell Jones Jr. (impressed in spring)",Aaron Philo,"Aaron Philo (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Sports Illustrated (2026 offseason),https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Fresno State,FRES,Pac-12,open competition,L,Khristian Martin (Maryland transfer) | Jayden Mandal (returnee),Khristian Martin,"Khristian Martin (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Athlon/ESPN/CBS Pac-12 2026 previews (2026 offseason),https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Georgia Southern,GASO,Sun Belt,open competition,L,Weston Bryan (played all 13 games 2025 as run threat) | Turner Helton (HC's son),,Not established (competition unresolved),Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,ESPN/Athlon Sun Belt 2026 previews (2026 offseason),https://www.espn.com/college-football/story/_/id/48759931/2026-sun-belt-conference-college-football-preview-predictions-every-team,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Iowa,IOWA,Big Ten,open competition,L,"Jeremy Hecklinski (backup promotion, minimal experience) | Hank Brown (Auburn transfer)",Jeremy Hecklinski,"Jeremy Hecklinski (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Sports Illustrated (Big Ten QB projections) (2026 offseason),https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Kansas,KAN,Big 12,open competition,L,Cole Ballard (promoted) | Isaiah Marshall (RS Soph) | Chase Jenkins (Rice transfer),Cole Ballard,"Cole Ballard (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Sports Illustrated (Big 12 QB projections) (2026 offseason),https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Liberty,LIB,Conference USA,open competition,L,Ethan Vasko (incumbent; 10 of 12 starts 2025) | two additional QBs with 5+ FBS starts,Ethan Vasko,"Ethan Vasko (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Underdog Dynasty (C-USA 2026 QB projections) (2026 offseason),https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Miami (OH),M-OH,MAC,open competition,L,Thomas Gotkowski (incumbent; led team to 2025 MAC title game) | David McComb | Caleb Heavner,Thomas Gotkowski,"Thomas Gotkowski (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,The Miami Student (2025-12),https://www.miamistudent.net/article/2025/12/this-will-be-another-game-for-him-gotkowski-stepped-up-as-miami-s-starting-quarterback-to-send-redhawks-to-mac-championship,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Memphis,MEM,American,open competition,L,"Marcus Stokes (West Florida transfer) | Noland (competition) | Denzel Gardner (Southern Miss transfer, backup)",Marcus Stokes,"Marcus Stokes (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Underdog Dynasty/Yahoo (American 2026 QB projections) (2026 offseason),https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Missouri State,MOST,Conference USA,open competition,L,TBD (open battle under new HC Casey Woods),,Not established (competition unresolved),Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Underdog Dynasty (C-USA 2026 QB projections) (2026 offseason),https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Nevada,NEV,Mountain West,open competition,L,Carter Jones | Luke Duncan (UCLA transfer),Carter Jones,"Carter Jones (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Athlon/ESPN/Nevada Sports Net MW 2026 previews (2026 offseason),https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Northern Illinois,NIU,Mountain West,open competition,L,Brady Davidson | Jalen Macon | Ean Hamric (Charleston transfer),,Not established (competition unresolved),Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Athlon/ESPN/Nevada Sports Net MW 2026 previews (2026 offseason),https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
New Mexico State,NMSU,Conference USA,open competition,L,TBD (rebuild; QB competition),,Not established (competition unresolved),Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Underdog Dynasty (C-USA 2026 QB projections) (2026 offseason),https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Ohio,OHIO,MAC,open competition,L,3 returning backups (all on 2025 roster); starter not named,,Not established (competition unresolved),Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,RotoWire MAC spring / Ohio Athletics (2026 offseason),https://www.rotowire.com/cfootball/article/spring-practice-storylines-mid-american-conference-106501,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Oregon State,ORST,Pac-12,open competition,L,Maalik Murphy (incumbent) | Brady Atkinson (Mercer transfer) | Brady Jones (Western Michigan transfer),Maalik Murphy,"Maalik Murphy (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Athlon/ESPN/CBS Pac-12 2026 previews (2026 offseason),https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Rutgers,RUTG,Big Ten,open competition,L,"Dylan Lonergan (BC transfer) | AJ Surace (competing, little game action)",Dylan Lonergan,"Dylan Lonergan (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Sports Illustrated (Big Ten QB projections) (2026 offseason),https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
