sheet	cell	v0.5.2_value	v0.6_value
START HERE	A1	'TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.5.2 CORRECTION BUILD — PENDING APPROVAL)'	'TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.6 PHASE 6 OPERATIONAL-TEST BUILD — PENDING APPROVAL)'
CHANGELOG	A44	None	'v0.6'
CHANGELOG	B44	None	'2026-07-21'
CHANGELOG	C44	None	'Phase 6 operational testing performed on a separate working copy (v0.6, built from approved v0.5.2; v0.5.2 and all earlier versions untouched). All synthetic test data was applied to and verified in isolated fixture files only (a compact real-formula test harness and a separate temporary full-scale test-applied copy) - never in this delivered file, which is cell-value-identical to approved v0.5.2 except for this CHANGELOG/banner. Full test plan, fixtures, expected-vs-actual results, and a cell-by-cell proof-of-removal are in the Phase 6 deliverables.'
CHANGELOG	D44	None	'v0.6 - Phase 6 test scope and isolation'
CHANGELOG	A45	None	'v0.6'
CHANGELOG	B45	None	'2026-07-21'
CHANGELOG	C45	None	'17-scenario line-level test matrix executed against 7 real schedule games spanning every branch of the status-priority chain (BLOCKED, FCS — NO PLAY, PENDING LINE, STALE LINE, QB UNCERTAIN, TRANSITION UNCERTAIN, DATA INCOMPLETE, READY) via a real-Excel-formula engine (not manual trace). Confirmed: a lower-priority condition never overrides a higher-priority one (e.g. BLOCKED outranks a co-occurring FCS — NO PLAY condition; QB UNCERTAIN outranks a co-occurring TRANSITION UNCERTAIN condition until QBs are resolved, at which point TRANSITION UNCERTAIN correctly surfaces). Confirmed a market line entered on an FCS — NO PLAY game does not produce a spread, total, edge, label, or confidence score, and does not change its status. Confirmed HFA = 2.5 on a standard game and = 0 on a neutral-site game. Confirmed label thresholds at the exact boundaries (0.99/1.00/1.49/1.50/2.99/3.00/3.01 vs SETTINGS!B8/B9/B10) match documented inclusive/exclusive behavior. Confirmed BET labels require toggle=Y AND status=READY together (edge >=3.0 shows INVESTIGATE with toggle=N, BET with toggle=Y).'
CHANGELOG	D45	None	'v0.6 - line-level test matrix (item 1)'
CHANGELOG	A46	None	'v0.6'
CHANGELOG	B46	None	'2026-07-21'
CHANGELOG	C46	None	"Weekly-rating-workflow test executed with a synthetic IMPORT STATS fixture and synthetic completed-game scores. Confirmed: a completed FBS-vs-FBS game credits both teams 1.0 effective game; a completed FBS-vs-FCS game credits its FBS side exactly 0 effective games (not the pre-v0.5.1 partial 0.5 credit); prior-fade weight follows SETTINGS!C37:C46 exactly (0 games=100% prior, 1 game=80% prior); weekly rating movement is capped at exactly +/-2.5 even when the raw blended rating would move far more (tested a 21.5-point pull, capped output moved exactly 2.5); NDSU/Sacramento State's transitional flags and un-cleared review status were unaffected by the completed-game/stats fixtures; an intentionally-misspelled team name in the stats paste resolved to UNMATCHED (not a guessed abbreviation) and was counted by DATA QUALITY, not silently dropped."
CHANGELOG	D46	None	'v0.6 - weekly-rating-workflow test (item 2)'
CHANGELOG	A47	None	'v0.6'
CHANGELOG	B47	None	'2026-07-21'
CHANGELOG	C47	None	'GENUINE FORMULA DEFECT FOUND AND DOCUMENTED, NOT REPAIRED (per instruction to stop and report rather than silently fix): ADJUSTMENTS!K6:K255 (Flags formula) - =IF($A6="","",IF($D6="","REASON MISSING; ","")&IF(NOT(ISNUMBER($C6)),"VALUE NOT NUMERIC; ","")&IF(AND(ISNUMBER($C6),ABS($C6)>4,$A6<>"MARGIN OVERRIDE",$A6<>"TOTAL OVERRIDE"),"LARGE ADJ (>4); ","")). Expected: a non-numeric Value (col C) shows a clean "VALUE NOT NUMERIC; " flag. Actual (confirmed with a real formula-calculation engine, and verified this is standard Excel/Sheets AND() eager-argument-evaluation behavior, not a verification-tool artifact): ABS($C6) is evaluated as an AND() argument even when ISNUMBER($C6) is FALSE, producing a #VALUE! error that propagates through the & concatenation and replaces the ENTIRE flag string with a raw error, corrupting DATA QUALITY!B15\'s flag count for that row too. Proposed correction (not applied): replace the AND(...) term with IF(ISNUMBER($C6),AND(ABS($C6)>4,$A6<>"MARGIN OVERRIDE",$A6<>"TOTAL OVERRIDE"),FALSE) so ABS() is never evaluated on a non-numeric value. No v0.6.1 was created; this workbook\'s ADJUSTMENTS formulas are byte-identical to approved v0.5.2.'
CHANGELOG	D47	None	'v0.6 - DEFECT FOUND: ADJUSTMENTS!K non-numeric-value #VALUE! propagation'
CHANGELOG	A48	None	'v0.6'
CHANGELOG	B48	None	'2026-07-21'
CHANGELOG	C48	None	'Related, non-defect behavioral finding: an oversized adjustment (e.g. 999 points, Active=Y) is NOT auto-blocked by any formula - it is flagged "LARGE ADJ (>4); " in column K (informational only) but is still fully summed into the game\'s margin by ENGINE!O (Manual adj). This matches the documented design ("manual review still required - never auto-clears") but is called out explicitly here since it may not be obvious from the UI alone: the weekly-review step (DATA QUALITY!B15 / START HERE step 7) is the only safeguard, not an automatic cap.'
CHANGELOG	D48	None	'v0.6 - confirmed design: adjustments flag, do not block, oversized entries'
CHANGELOG	A49	None	'v0.6'
CHANGELOG	B49	None	'2026-07-21'
CHANGELOG	C49	None	"All 10 user-facing workflow sheets (START HERE, DASHBOARD, MARKET LINES, ADJUSTMENTS, QB VALUES, TEAM RATINGS, DATA QUALITY, SETTINGS, IMPORT SCHEDULE, IMPORT STATS) exercised via the test fixtures; the full weekly routine was completed touching only these 10 sheets - no hidden formula sheet (ENGINE, CLEAN, CALC, TEAM MAP, PRESEASON, FCS TIERS, HISTORY, BACKTEST, AUDIT, DICTIONARY) required editing. A simplified iPad-friendly weekly checklist (exact cells/columns, grounded in the workbook's own START HERE!A6:C15 8-step routine) is included in the Phase 6 deliverables."
CHANGELOG	D49	None	'v0.6 - 10-sheet workflow test + iPad checklist (item 4)'
CHANGELOG	A50	None	'v0.6'
CHANGELOG	B50	None	'2026-07-21'
CHANGELOG	C50	None	'Cleanup verified complete: a scripted cleanup pass reversed every synthetic fixture from a full-scale test-applied copy, and the result was proven cell-by-cell identical (0 differences across all 21 sheets) to the untouched pristine v0.6/v0.5.2 baseline. This delivered file was never touched with test data in the first place (confirmed identical to approved v0.5.2 before this CHANGELOG/banner update) - the cleanup proof was produced on the separate test-applied copy specifically to demonstrate and validate the removal procedure itself. Confirmed final state: 888 unique schedule games, 761 FBS-vs-FBS (requiring lines), 127 FCS — NO PLAY (verified via live calculation of the real CLEAN!O/Q classification formulas across all 888 rows, not assumed), 138 QB rows UNCERTAIN, 0 market lines, 0 manual adjustments, 0 imported in-season statistics, BET toggle OFF, 0 remaining TEST/SYNTHETIC/fixture data anywhere in the workbook.'
CHANGELOG	D50	None	'v0.6 - cleanup verified + final state confirmed (items 6-7)'
