sheet,cell,row,column,live,authoritative,why
AUDIT,A12,12,1,BET toggle default OFF,"SPREAD config: BET threshold 1.5, spread toggle Y, formula independent of totals",sync to authoritative v0.8.9
AUDIT,B12,12,2,"=IF(SETTINGS!$B$11=""N"",""OK (OFF)"",""CHECK — toggle is ""&SETTINGS!$B$11)","=IF(AND(SETTINGS!$B$10=1.5,SETTINGS!$B$11=""Y"",IFERROR(ISNUMBER(SEARCH(""SETTINGS!$B$10"",FORMULATEXT(ENGINE!$X$6))),FALSE),IFERROR(ISNUMBER(SEARCH(""SETTINGS!$B$11"",FORMULATEXT(ENGINE!$X$6))),FALSE),IFERROR(NOT(ISNUMBER(SEARCH(""SETTINGS!$B$51"",FORMULATEXT(ENGINE!$X$6)))),FALSE),IFERROR(NOT(ISNUMBER(SEARCH(""SETTINGS!$B$52"",FORMULATEXT(ENGINE!$X$6)))),FALSE)),""OK — spread BET 1.5, spread toggle Y, independent of totals"",""CHECK — ""&IF(SETTINGS!$B$10<>1.5,""spread BET threshold is ""&SETTINGS!$B$10&""; "","""")&IF(SETTINGS!$B$11<>""Y"",""spread BET toggle is ""&SETTINGS!$B$11&""; "","""")&IF(IFERROR(AND(ISNUMBER(SEARCH(""SETTINGS!$B$10"",FORMULATEXT(ENGINE!$X$6))),ISNUMBER(SEARCH(""SETTINGS!$B$11"",FORMULATEXT(ENGINE!$X$6))),NOT(ISNUMBER(SEARCH(""SETTINGS!$B$52"",FORMULATEXT(ENGINE!$X$6))))),FALSE),"""",""spread formula does not use its own independent controls; ""))",sync to authoritative v0.8.9
AUDIT,A13,13,1,Thresholds 1.0 / 1.5 / 3.0,"TOTALS config: thresholds 2.0/3.0/6.0, totals toggle N, formula independent of spreads",sync to authoritative v0.8.9
AUDIT,B13,13,2,"=IF(AND(SETTINGS!$B$8=1,SETTINGS!$B$9=1.5,SETTINGS!$B$10=3),""OK"",""CHANGED — log in CHANGELOG"")","=IF(AND(SETTINGS!$B$49=2,SETTINGS!$B$50=3,SETTINGS!$B$51=6,SETTINGS!$B$52=""N"",IFERROR(ISNUMBER(SEARCH(""SETTINGS!$B$49"",FORMULATEXT(ENGINE!$AB$6))),FALSE),IFERROR(ISNUMBER(SEARCH(""SETTINGS!$B$50"",FORMULATEXT(ENGINE!$AB$6))),FALSE),IFERROR(ISNUMBER(SEARCH(""SETTINGS!$B$51"",FORMULATEXT(ENGINE!$AB$6))),FALSE),IFERROR(ISNUMBER(SEARCH(""SETTINGS!$B$52"",FORMULATEXT(ENGINE!$AB$6))),FALSE),IFERROR(NOT(ISNUMBER(SEARCH(""SETTINGS!$B$10"",FORMULATEXT(ENGINE!$AB$6)))),FALSE),IFERROR(NOT(ISNUMBER(SEARCH(""SETTINGS!$B$11"",FORMULATEXT(ENGINE!$AB$6)))),FALSE)),""OK — totals 2.0/3.0/6.0, totals toggle N, independent of spreads"",""CHECK — ""&IF(OR(SETTINGS!$B$49<>2,SETTINGS!$B$50<>3,SETTINGS!$B$51<>6),""totals thresholds not 2.0/3.0/6.0; "","""")&IF(SETTINGS!$B$52<>""N"",""totals BET toggle is ""&SETTINGS!$B$52&""; "","""")&IF(IFERROR(AND(ISNUMBER(SEARCH(""SETTINGS!$B$52"",FORMULATEXT(ENGINE!$AB$6))),NOT(ISNUMBER(SEARCH(""SETTINGS!$B$11"",FORMULATEXT(ENGINE!$AB$6)))),NOT(ISNUMBER(SEARCH(""SETTINGS!$B$10"",FORMULATEXT(ENGINE!$AB$6))))),FALSE),"""",""totals formula still references the spread controls; ""))",sync to authoritative v0.8.9
ENGINE,AB6,6,28,"=IF($AA6="""","""",IF(ABS($AA6)<SETTINGS!$B$8*2,"""",IF(ABS($AA6)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI6<>""READY"",ABS($AA6)<SETTINGS!$B$10*2,$AF6<>"""",$AG6<>""""),""INVESTIGATE"",""BET""))))","=IF($AA6="""","""",IF(ABS($AA6)<SETTINGS!$B$49,"""",IF(ABS($AA6)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI6<>""READY"",ABS($AA6)<SETTINGS!$B$51,$AF6<>"""",$AG6<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB7,7,28,"=IF($AA7="""","""",IF(ABS($AA7)<SETTINGS!$B$8*2,"""",IF(ABS($AA7)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI7<>""READY"",ABS($AA7)<SETTINGS!$B$10*2,$AF7<>"""",$AG7<>""""),""INVESTIGATE"",""BET""))))","=IF($AA7="""","""",IF(ABS($AA7)<SETTINGS!$B$49,"""",IF(ABS($AA7)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI7<>""READY"",ABS($AA7)<SETTINGS!$B$51,$AF7<>"""",$AG7<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB8,8,28,"=IF($AA8="""","""",IF(ABS($AA8)<SETTINGS!$B$8*2,"""",IF(ABS($AA8)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI8<>""READY"",ABS($AA8)<SETTINGS!$B$10*2,$AF8<>"""",$AG8<>""""),""INVESTIGATE"",""BET""))))","=IF($AA8="""","""",IF(ABS($AA8)<SETTINGS!$B$49,"""",IF(ABS($AA8)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI8<>""READY"",ABS($AA8)<SETTINGS!$B$51,$AF8<>"""",$AG8<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB9,9,28,"=IF($AA9="""","""",IF(ABS($AA9)<SETTINGS!$B$8*2,"""",IF(ABS($AA9)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI9<>""READY"",ABS($AA9)<SETTINGS!$B$10*2,$AF9<>"""",$AG9<>""""),""INVESTIGATE"",""BET""))))","=IF($AA9="""","""",IF(ABS($AA9)<SETTINGS!$B$49,"""",IF(ABS($AA9)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI9<>""READY"",ABS($AA9)<SETTINGS!$B$51,$AF9<>"""",$AG9<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB10,10,28,"=IF($AA10="""","""",IF(ABS($AA10)<SETTINGS!$B$8*2,"""",IF(ABS($AA10)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI10<>""READY"",ABS($AA10)<SETTINGS!$B$10*2,$AF10<>"""",$AG10<>""""),""INVESTIGATE"",""BET""))))","=IF($AA10="""","""",IF(ABS($AA10)<SETTINGS!$B$49,"""",IF(ABS($AA10)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI10<>""READY"",ABS($AA10)<SETTINGS!$B$51,$AF10<>"""",$AG10<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB11,11,28,"=IF($AA11="""","""",IF(ABS($AA11)<SETTINGS!$B$8*2,"""",IF(ABS($AA11)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI11<>""READY"",ABS($AA11)<SETTINGS!$B$10*2,$AF11<>"""",$AG11<>""""),""INVESTIGATE"",""BET""))))","=IF($AA11="""","""",IF(ABS($AA11)<SETTINGS!$B$49,"""",IF(ABS($AA11)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI11<>""READY"",ABS($AA11)<SETTINGS!$B$51,$AF11<>"""",$AG11<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
