row,abbrev,team,conference,active_qb,confidence,baseline_value,active_value,last_update,tier1,verification_status
6,ALA,Alabama,SEC,Keelon Russell,L,,,2026-07-21,True,verified 7A-7D
7,ARK,Arkansas,SEC,Open (KJ Jackson / AJ Hill),L,,,2026-08-03,True,VERIFIED 7D.3A
8,AUB,Auburn,SEC,Byrum Brown,M,0,0,2026-07-21,True,verified 7A-7D
9,FLA,Florida,SEC,Aaron Philo,L,,,2026-07-21,True,verified 7A-7D
10,UGA,Georgia,SEC,Gunner Stockton,H,0,0,2026-07-21,False,H-coded (tier 2)
11,UK,Kentucky,SEC,Kenny Minchey,M,0,0,2026-07-21,True,verified 7A-7D
12,LSU,LSU,SEC,Sam Leavitt,H,0,0,2026-07-21,False,verified 7A-7D
13,MSST,Mississippi State,SEC,Kamario Taylor,H,0,0,2026-08-03,False,VERIFIED 7D.3A
14,MIZ,Missouri,SEC,Austin Simmons,M,0,0,2026-07-21,True,verified 7A-7D
15,OU,Oklahoma,SEC,John Mateer,H,0,0,2026-07-21,False,H-coded (tier 2)
16,MISS,Ole Miss,SEC,Trinidad Chambliss,H,0,0,2026-07-21,False,verified 7A-7D
17,SCAR,South Carolina,SEC,LaNorris Sellers,H,0,0,2026-07-21,False,verified 7A-7D
18,TENN,Tennessee,SEC,Faizon Brandon,L,,,2026-07-21,True,verified 7A-7D
19,TEX,Texas,SEC,Arch Manning,H,0,0,2026-07-21,False,H-coded (tier 2)
20,TAMU,Texas A&M,SEC,Marcel Reed,H,0,0,2026-07-21,False,H-coded (tier 2)
21,VAN,Vanderbilt,SEC,Jared Curtis,L,,,2026-07-21,True,verified 7A-7D
22,ILL,Illinois,Big Ten,Katin Houser,H,0,0,2026-07-21,False,H-coded (tier 2)
23,IND,Indiana,Big Ten,Josh Hoover,H,0,0,2026-07-21,False,verified 7A-7D
24,IOWA,Iowa,Big Ten,Open (Jeremy Hecklinski / Hank Brown),L,,,2026-08-03,True,VERIFIED 7D.3A
25,MD,Maryland,Big Ten,Malik Washington,H,0,0,2026-07-21,False,H-coded (tier 2)
