abbrev,team,conference,active_qb,status_type,prev_school,confidence,confirmed_level,injury_eligibility,stats_2025,candidates,notes,sources,research_date
ALA,Alabama,SEC,Keelon Russell,backup promotion / open competition,,L,open competition (not named; likely decided late fall),Mack reported 'dinged up' in spring,Russell: minimal college pass attempts (redshirt Fr),"Keelon Russell (RS Fr, slight leader) | Austin Mack (RS, dinged up)","Genuine QB competition Russell vs Mack; Russell slight favorite per SI, DeBoer expected to wait deep into fall.","Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason) ; Saturday Down South (corroborating competition) (https://www.saturdaydownsouth.com/news/college-football/predicting-every-sec-starting-quarterback-for-the-2026-season/, 2026 offseason)",2026-07-21
ARK,Arkansas,SEC,KJ Jackson,returning starter (with competition),,M,"strong projected, competition remains",,partial (dual-threat returning starter),"KJ Jackson (returning, dual-threat) | AJ Hill (transfer, followed coach from Memphis)",Jackson leads; AJ Hill pushing after following new coach from Memphis.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
AUB,Auburn,SEC,Byrum Brown,transfer,South Florida (USF),M,"strong projected (transfer brought in to start, no competition reported)",,"USF 2025: 28 pass TD, 7 INT (RS senior, dual-threat)","Byrum Brown (USF transfer, clear QB1)",RS senior transfer from South Florida; no competition mentioned.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
FLA,Florida,SEC,Aaron Philo,transfer / open competition,Georgia Tech,L,open competition,,partial,"Aaron Philo (Georgia Tech transfer, w/ OC Buster Faulkner) | Tramell Jones Jr. (impressed in spring)",Philo followed OC Buster Faulkner from Georgia Tech; spring 'mixed bag'; Tramell Jones Jr. lit up spring game. Genuinely open.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason) ; Yahoo/SDS (corroborating competition) (https://sports.yahoo.com/articles/projected-starting-quarterbacks-sec-2026-210144517.html, 2026 offseason)",2026-07-21
UGA,Georgia,SEC,Gunner Stockton,returning starter,,H,"established returning starter, no competition",,"2025: 69.7% comp, 24 pass TD, 5 INT",Gunner Stockton (returning),Returns after solid first season as starter; no reported competition.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason) ; CBS Sports SEC QB rankings (https://www.cbssports.com/college-football/news/sec-qb-rankings-2026-season-arch-manning-trinidad-chambliss/, 2026 offseason)",2026-07-21
UK,Kentucky,SEC,Kenny Minchey,transfer,Notre Dame,M,"strong projected (transfer QB1, no competition reported)",,limited (lost ND battle to CJ Carr),Kenny Minchey (Notre Dame transfer),Transfer from Notre Dame after losing job to CJ Carr; expected QB1.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
LSU,LSU,SEC,Sam Leavitt,transfer,Arizona State,H,strong projected/expected QB1 (marquee transfer),Dealt with injury in 2025,"ASU 2025: 10 pass TD, 3 INT (injury-shortened)",Sam Leavitt (Arizona State transfer),High-profile transfer from Arizona State; 'one of priciest pieces' of portal cycle.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
MSST,Mississippi State,SEC,Kamario Taylor,returning starter,,M,strong projected (limited 2025 sample),,Started final two games of 2025,"Kamario Taylor (returning, started final 2 games 2025)",Returning; took over late 2025.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
MIZ,Missouri,SEC,Austin Simmons,transfer (with competition),Ole Miss,M,"projected leader, some competition",,"Ole Miss 2025: 2 starts, 4 TD, 5 INT",Austin Simmons (Ole Miss transfer) | Matt Zollers,Transfer from Ole Miss; Zollers in the mix.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
OU,Oklahoma,SEC,John Mateer,returning starter,,H,established returning starter,,"2025: 14 pass TD, 11 INT, dual-threat; took 13 sacks in losses",John Mateer (returning),Returning dual-threat starter.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason) ; CBS Sports SEC QB rankings (https://www.cbssports.com/college-football/news/sec-qb-rankings-2026-season-arch-manning-trinidad-chambliss/, 2026 offseason)",2026-07-21
