sheet,cell,row,team,change_class,old,new,is_numeric_zero
START HERE,A1,1,,BANNER,"TO THE WINDOW — TTW COLLEGE FOOTBALL POWER RATINGS (v0.8.5 AUTHORITATIVE — promotion complete 2026-08-04. QB verification complete: backlog 0, audit-trail gap 0, all 73 Tier-1 records verified and stamped against team-specific primary sources; 72 H / 40 M / 26 L; 0 nonzero QB values. Preseason state: 0 market lines loaded, BET toggle = N.)","TO THE WINDOW — TTW COLLEGE FOOTBALL POWER RATINGS (v0.8.6 AUTHORITATIVE — promotion complete 2026-08-04. QB verification complete: backlog 0, audit-trail gap 0, all 73 Tier-1 records verified and stamped against team-specific primary sources; 73 H / 40 M / 25 L; 0 nonzero QB values. Preseason state: 0 market lines loaded, BET toggle = N.)",False
QB VALUES,C35,35,Rutgers,ACTIVATION,,Dylan Lonergan,False
QB VALUES,D35,35,Rutgers,ACTIVATION,,0,True
QB VALUES,E35,35,Rutgers,ACTIVATION,Dylan Lonergan (likely starter; AJ Surace competing),Dylan Lonergan,False
QB VALUES,F35,35,Rutgers,ACTIVATION,,0,True
QB VALUES,I35,35,Rutgers,ACTIVATION,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),ESPN / Pete Thamel via On3 The Knight Report + 247Sports 2026-08-24 (https://www.on3.com/sites/the-knight-report/news/rutgers-names-dylan-lonergan-starting-quarterback-for-2026/),False
QB VALUES,K35,35,Rutgers,ACTIVATION,2026-08-03 00:00:00,2026-08-24 00:00:00,False
QB VALUES,L35,35,Rutgers,ACTIVATION,"VERIFIED 2026-08-03: Dylan Lonergan (Boston College transfer, replacing Athan Kaliakmanis) is described as 'the likely starter, but Rutgers likes AJ Surace, too' - a clear leader with real competition -> M. Mixed 2025 record (upside vs Michigan State/Stanford/Georgia Tech; benched twice, 1 pass TD and 6 turnovers in six other FBS games) supports M rather than H. Per 7D.3 methodology, numerical values REMAIN BLANK on an L->M change (valuation unresolved), so status correctly stays UNCERTAIN.","2026-08-24 ACTIVATED, confidence M (UNCHANGED from M). ESPN's Pete Thamel reported that Rutgers named Dylan Lonergan its starting quarterback, won over AJ Surace after spring and fall camp; carried by On3/The Knight Report, 247Sports, Yahoo Sports and On the Banks. M rather than H because this is a reporter-sourced claim rather than a team or coach announcement, matching the precedent set when North Carolina and Georgia Southern were activated at M on Thamel sources reports. INDEPENDENTLY CORROBORATED BY THE WORKBOOK: reporting that Lonergan leads Rutgers into Week 1 against UMass matches IMPORT SCHEDULE exactly (wk1 2026-09-03 Massachusetts Minutemen @ Rutgers Scarlet Knights). Supersedes the 2026-08-03 SI projection entry, which recorded only 'likely starter'. BASELINE QB RECORDED IN COLUMN C AT ACTIVATION: the field was blank, and every OK row in the workbook carries a populated baseline quarterback, so Lonergan - named as the projected starter by the SI source the prior entry cited - is recorded as the baseline the preseason blend assumed. Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change.",False
QB VALUES,E74,74,Colorado State,RECORD CORRECTION,Hauss Hejny (K'saan Farrar competing),Hauss Hejny vs. K'saan Farrar,False
QB VALUES,K74,74,Colorado State,RECORD CORRECTION,2026-08-03 00:00:00,2026-08-24 00:00:00,False
QB VALUES,L74,74,Colorado State,RECORD CORRECTION,"VERIFIED 2026-08-03: Hauss Hejny is Colorado State's projected starter but is LOCKED IN A BATTLE with UConn transfer K'saan Farrar that is expected to LAST INTO FALL CAMP. Genuine unresolved competition -> L retained; entry refined. (Context: CSU's 2026 HC is Jim Mora, who left UConn - see the 7D.3A UConn finding.)","VERIFIED 2026-08-03: Hauss Hejny is Colorado State's projected starter but is LOCKED IN A BATTLE with UConn transfer K'saan Farrar that is expected to LAST INTO FALL CAMP. Genuine unresolved competition -> L retained; entry refined. (Context: CSU's 2026 HC is Jim Mora, who left UConn - see the 7D.3A UConn finding.) RULING 2026-08-24: active competition field standardised to ""Hauss Hejny vs. K'saan Farrar"". Confidence L and status UNCERTAIN are UNCHANGED - this is a record correction only, with no numerical entry and no model effect. The active competition field is limited to these two quarterbacks; no third quarterback is carried in it.",False
QB VALUES,D80,80,Washington State,ACTIVATION,,0,True
QB VALUES,E80,80,Washington State,ACTIVATION,Open (Caden Pinnick / Owen Eshelman / Julian Dugger),Caden Pinnick,False
QB VALUES,F80,80,Washington State,ACTIVATION,,0,True
QB VALUES,H80,80,Washington State,ACTIVATION,L,H,False
QB VALUES,I80,80,Washington State,ACTIVATION,Athlon/ESPN Pac-12 (https://athlonsports.com/college-football/pac-12-football-2026-predictions),Washington State official team announcement (@WSUCougarFB) via Spokesman-Review 2026-08-24 (https://www.spokesman.com/stories/2026/aug/24/uc-davis-transfer-caden-pinnick-to-start-at-qb-for/),False
QB VALUES,K80,80,Washington State,ACTIVATION,2026-08-04 00:00:00,2026-08-24 00:00:00,False
QB VALUES,L80,80,Washington State,ACTIVATION,"DEFECT CORRECTED 7D.4A, RE-VERIFIED 7D.5 2026-08-04: prior entry asserted Caden Pinnick as projected QB1 (M). HeraldNet 2026-07-30: WSU 'set to open fall camp with WIDE-OPEN QB competition'; The Columbian 2026-08-01: quarterback situation 'UNRESOLVED'; first-year HC Kirby Moore declined to commit - 'That's gonna continue through the summer'; the Spokesman-Review beat reports Pinnick 'WASN'T ABLE TO CREATE MEANINGFUL SEPARATION FROM ESHELMAN' in spring, and staff may keep the decision in-house until kickoff. CORROBORATED IN 7D.5 by the official transfer ledger: Pinnick IN from UC Davis; Jaxon Potter OUT to Old Dominion and Ajani Sheppard OUT to Temple (both appear as competitors in those teams' records); new OC Matt Miller. Three-way with Owen Eshelman and Julian Dugger, no leader -> L; zeros CLEARED to blank; UNCERTAIN. Camp opened 2026-08-06.","2026-08-24 ACTIVATED, confidence L -> H. Washington State announced Caden Pinnick as QB1; the program posted the announcement from @WSUCougarFB on the afternoon of 2026-08-24, reported by the Spokesman-Review: 'The Cougars will start UC Davis transfer Caden Pinnick, the program announced on social media Monday afternoon.' H rather than M because this is a FIRST-PARTY TEAM ANNOUNCEMENT, not a reporter-sourced claim - a tier above the Georgia Southern / North Carolina / Rutgers precedent. Resolves the three-way competition with Owen Eshelman and Julian Dugger and satisfies the deadline HC Kirby Moore set publicly on 2026-08-06 ('by Aug. 24') and restated 2026-08-21 ('by Monday'). Supersedes the 2026-08-04 defect-corrected entry, which recorded a wide-open camp battle with no leader. INDEPENDENTLY CORROBORATED BY THE WORKBOOK: the report that WSU opens Sept. 6 at Washington matches IMPORT SCHEDULE exactly (wk1 2026-09-06 Washington State Cougars @ Washington Huskies). DEVIATION IS EXACTLY ZERO AND VERIFIED: Pinnick was ALREADY the recorded baseline quarterback in column C before this activation, so the announced starter and the preseason assumption are the same player and no deviation applies. Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change.",False
