sheet,cell,row,column,column_letter,context,live_value,authoritative_value,expected_action,classification
CHANGELOG,A87,87,1,A,live-authored changelog history rows,v0.8.3,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,B87,87,2,B,live-authored changelog history rows,2026-08-19,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,C87,87,3,C,live-authored changelog history rows,"GO-LIVE: replaced the Phase 2 zero-market-row invariant with the validated operational MARKET LINES invariant; loaded eight Week 0 Circa spreads/totals from the owner-supplied OddsLogic screenshot captured 2026-08-18 11:10 PM ET; set Current week = 0 and As-of date = 2026-08-18. All eight rows resolve with no flags or duplicates. BET remains N; totals model remains unavailable; no rating, QB value, adjustment, or model formula changed.",,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,D87,87,4,D,live-authored changelog history rows,Owner-supplied market screenshot; v0.8.3 repo guardrail commit 05b8a52,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,A88,88,1,A,live-authored changelog history rows,v0.8.3,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,B88,88,2,B,live-authored changelog history rows,2026-08-19,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,C88,88,3,C,live-authored changelog history rows,"QB ACTIVATION — UNC: Billy Edwards Jr. promoted from an open competition to the named starter for the 2026-08-29 TCU opener. QB VALUES D65/F65 set to 0/0 under the deviation-only convention; E65 set to Billy Edwards Jr.; H65 L→M; source, review date and evidence note refreshed. G65 and M65 remain formulas. UNC status changes UNCERTAIN→OK and UNC–TCU changes QB UNCERTAIN→READY; no QB adjustment, rating, spread, edge or model formula changed.",,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,D88,88,4,D,live-authored changelog history rows,ESPN/Pete Thamel 2026-08-18; independently corroborated by Inside Carolina/On3; no public UNC team release located at review time,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,A89,89,1,A,live-authored changelog history rows,v0.8.3,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,B89,89,2,B,live-authored changelog history rows,2026-08-21,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,C89,89,3,C,live-authored changelog history rows,"FINAL CORRECTED QB PACKET: activated Stanford (Davis Warren), San José State (Luke Weaver) and Missouri State (Skyler Locklear) at H confidence with baseline/active values 0/0 under the deviation-only convention. Corrected Fresno State's stale three-way record to the current Khristian Martin / Jayden Mandal competition while retaining L/UNCERTAIN. Refreshed Texas Tech's medical-gate note and review date without activation; team medical clearance for Will Hammond remained unverified. Syracuse was deliberately not changed because Fran Brown's camp comments preserved a live competition. Three QB statuses moved UNCERTAIN→OK; no nonzero QB value, rating, market line, adjustment, spread or model formula changed.",,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,D89,89,4,D,live-authored changelog history rows,Owner-approved corrected reconciliation; Stanford ESPN/Press Democrat; official SJSU Football; official Missouri State Football; Fresno State Athletics/KMPH; Texas Tech ESPN,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,A90,90,1,A,live-authored changelog history rows,v0.8.3,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,B90,90,2,B,live-authored changelog history rows,2026-08-21,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,C90,90,3,C,live-authored changelog history rows,"TEXAS TECH IDENTITY CORRECTION: Will Hammond is the confirmed QB1, not an unresolved starter identity. QB VALUES C52 populated with Will Hammond; H52 M→H; I52 and L52 replaced with official Texas Tech/ESPN evidence. D52/F52 remain blank because final team medical clearance for Week 1 availability was not verified; G52/M52 remain formulas and M52 correctly stays UNCERTAIN. Confidence census changes 68 H / 42 M / 28 L → 69 H / 41 M / 28 L. QB census remains 104 OK / 34 UNCERTAIN; no numerical QB value, rating, market line, adjustment, spread or model formula changed.",,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,D90,90,4,D,live-authored changelog history rows,Owner correction; Texas Tech Football official QB1 post 2026-07-24; ESPN/Joey McGuire 2026-07-07,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,A91,91,1,A,live-authored changelog history rows,v0.8.4,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,B91,91,2,B,live-authored changelog history rows,2026-08-21,,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,C91,91,3,C,live-authored changelog history rows,"LIVE v0.8.4 QB CLOSEOUT: Northern Illinois corrected from projected Taron Dickens at M to an unresolved four-way competition (Davidson / Macon / Hamric / Dickens) at L; Tulane corrected from Kadin Semonza to the verified four-way competition (Semonza / Chriss-Gremillion / Johnson / Bruno), retaining L. Sources, review dates and evidence notes refreshed. Colorado State unchanged; Texas Tech remains confirmed QB1 Will Hammond at H but medically gated. No numerical QB value, rating, market line, adjustment, spread or formula changed.",,HOLD - ruling required,LIVE-ONLY DATA
CHANGELOG,D91,91,4,D,live-authored changelog history rows,Owner-approved v0.8.4 corrected packet; repository promotion commit 14cf041; HERO Sports/NIU Athletics and FOX 8 New Orleans,,HOLD - ruling required,LIVE-ONLY DATA
IMPORT SCHEDULE,D13,13,4,D,401862693 Memphis Tigers @ UNLV Rebels,2026-08-30 00:00:00,2026-08-29 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D20,20,4,D,401856663 Arkansas-Pine Bluff Golden Lions @ Missouri Tigers,2026-09-04 00:00:00,2026-09-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D21,21,4,D,401856768 Idaho Vandals @ Utah Utes,2026-09-04 00:00:00,2026-09-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D22,22,4,D,401856776 Colorado Buffaloes @ Georgia Tech Yellow Jackets,2026-09-04 00:00:00,2026-09-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D23,23,4,D,401858422 Eastern Illinois Panthers @ Minnesota Golden Gophers,2026-09-04 00:00:00,2026-09-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D24,24,4,D,401858424 UAB Blazers @ Illinois Fighting Illini,2026-09-04 00:00:00,2026-09-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D36,36,4,D,401856664 UTEP Miners @ Oklahoma Sooners,2026-09-05 00:00:00,2026-09-04 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D42,42,4,D,401856769 Long Island University Sharks @ Kansas Jayhawks,2026-09-05 00:00:00,2026-09-04 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D50,50,4,D,401858206 Miami Hurricanes @ Stanford Cardinal,2026-09-05 00:00:00,2026-09-04 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D58,58,4,D,401858429 Toledo Rockets @ Michigan State Spartans,2026-09-05 00:00:00,2026-09-04 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D63,63,4,D,401858436 Fresno State Bulldogs @ USC Trojans,2026-09-05 00:00:00,2026-09-04 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D89,89,4,D,401856773 Northern Arizona Lumberjacks @ Arizona Wildcats,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D90,90,4,D,401856774 Morgan State Bears @ Arizona State Sun Devils,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D91,91,4,D,401856775 Utah Tech Trailblazers @ BYU Cougars,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D92,92,4,D,401858210 UCLA Bruins @ California Golden Bears,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D93,93,4,D,401858427 Hampton Pirates @ Maryland Terrapins,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
