row	abbrev	team	conference	status	reason
6	ALA	Alabama	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
7	ARK	Arkansas	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
8	AUB	Auburn	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
9	FLA	Florida	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
10	UGA	Georgia	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
11	UK	Kentucky	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
12	LSU	LSU	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
13	MSST	Mississippi State	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
14	MIZ	Missouri	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
15	OU	Oklahoma	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
16	MISS	Ole Miss	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
17	SCAR	South Carolina	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
18	TENN	Tennessee	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
