sheet,cell,classification,old,new
START HERE,A1,DOCUMENTATION — version identifier and confidence census,"TO THE WINDOW — TTW COLLEGE FOOTBALL POWER RATINGS (v0.8.3 AUTHORITATIVE — promotion complete 2026-08-04. QB verification complete: backlog 0, audit-trail gap 0, all 73 Tier-1 records verified and stamped against team-specific primary sources; 65 H / 41 M / 32 L; 0 nonzero QB values. Preseason state: 0 market lines loaded, BET toggle = N.)","TO THE WINDOW — TTW COLLEGE FOOTBALL POWER RATINGS (v0.8.4 AUTHORITATIVE — promotion complete 2026-08-04. QB verification complete: backlog 0, audit-trail gap 0, all 73 Tier-1 records verified and stamped against team-specific primary sources; 69 H / 40 M / 29 L; 0 nonzero QB values. Preseason state: 0 market lines loaded, BET toggle = N.)"
QB VALUES,C52,QB DATA — RESYNC from live production master (TTU),,Will Hammond
QB VALUES,H52,QB DATA — RESYNC from live production master (TTU),M,H
QB VALUES,I52,QB DATA — RESYNC from live production master (TTU),Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),"Texas Tech Football official, 2026-07-24 / ESPN, 2026-07-07 (https://x.com/TexasTechFB/status/2080671454715154707 ; https://www.espn.com/college-football/story/_/id/49301606/texas-tech-hammond-acl-week-1-starter-cleared)"
QB VALUES,K52,QB DATA — RESYNC from live production master (TTU),2026-08-03 00:00:00,2026-08-21 00:00:00
QB VALUES,L52,QB DATA — RESYNC from live production master (TTU),"Surgeon clearance reported (late July 2026); projected Week 1 starter per ESPN/On3. FINAL TEAM MEDICAL CLEARANCE STILL PENDING - training staff retains the decision (~Aug 21 nine-month ACL mark). Classification is LIKELY (M), NOT KNOWN (H): no official naming has occurred. Numerical QB delta remains GATED - Baseline/Active values stay blank until final clearance, so QB status correctly remains UNCERTAIN.","2026-08-21 CORRECTION — IDENTITY CONFIRMED, MEDICALLY GATED: Texas Tech publicly identified Will Hammond as QB1, and head coach Joey McGuire confirmed the staff is moving forward with Hammond as its starting quarterback. Identity confidence H. Week 1 availability remains conditional on final team medical clearance for all football-related activity; that clearance was not independently verified as of this review. Baseline and active values remain blank pending availability clearance, so QB status remains UNCERTAIN and no numerical adjustment is applied. RECHECK: Texas Tech team medical release or official Week 1 depth chart/game notes."
QB VALUES,D65,QB DATA — RESYNC from live production master (UNC),,0
QB VALUES,E65,QB DATA — RESYNC from live production master (UNC),Open (Billy Edwards Jr. / Miles O'Neill / Au'Tori Newkirk / Travis Burgess),Billy Edwards Jr.
QB VALUES,F65,QB DATA — RESYNC from live production master (UNC),,0
QB VALUES,H65,QB DATA — RESYNC from live production master (UNC),L,M
