sheet	cell	v0.4.2_value	v0.5.1_value
START HERE	A1	'TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.4.2 PHASE 4 SP+ CORRECTION — PENDING APPROVAL)'	'TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.5.1 FBS-vs-FCS SCOPE CHANGE — PENDING APPROVAL)'
START HERE	A3	'PHASE 4 STATE: verified SP+, FPI, and TeamRankings 2026 preseason ratings are loaded for all 138 teams (PRESEASON, raw + date + citation; blend renormalizes over these three sources, available weight 0.70). Still unavailable or unpopulated: TTW independent 2025 prior (source access blocked - see CHANGELOG), VSiN (user-supplied, not provided), QB values (depth charts not yet published), market lines, and in-season statistics. Games correctly report PENDING LINE or a data-quality block until those load.'	'PHASE 5.1 STATE (scope change): FBS-vs-FCS games are permanently non-actionable - status "FCS — NO PLAY", no market line required, no spread/total/edge/label/confidence calculated, excluded from effective-game and weekly rating-movement calculations. Their schedule entries and final scores are still tracked for reference. NDSU and Sacramento State remain normal FBS-reclassifying teams (unaffected; existing transitional safeguards intact). SP+, FPI, TeamRankings preseason ratings loaded for all 138 FBS teams (blend weight 0.70). Still blocked/unpopulated: TTW independent 2025 prior (see CHANGELOG), VSiN (user-supplied, not provided), QB values (see unresolved-QB report), market lines, in-season statistics.'
ENGINE	AI6	'=IF($A6="","",IF($AH6<>"","BLOCKED",IF(CALC!$S6=1,"PENDING LINE",IF(CALC!$Q6=1,"STALE LINE",IF($AE6="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF6<>"",AND($G6="FCS",$I6=""),AND($H6="FCS",$J6="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B6="",$C6=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A6="","",IF($AH6<>"","BLOCKED",IF($AG6<>"","FCS — NO PLAY",IF(CALC!$S6=1,"PENDING LINE",IF(CALC!$Q6=1,"STALE LINE",IF($AE6="QB UNCERTAIN","QB UNCERTAIN",IF($AF6<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B6="",$C6=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ6	'=IF(OR($AI6="",$AI6="BLOCKED",$AI6="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z6<SETTINGS!$B$24,1,0)-IF($AE6="QB UNCERTAIN",1,0)-IF($AF6<>"",1,0)-IF($AG6<>"",1,0)+IF(CALC!$Z6>=6,1,0))))'	'=IF(OR($AI6="",$AI6="BLOCKED",$AI6="PENDING LINE",$AI6="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z6<SETTINGS!$B$24,1,0)-IF($AE6="QB UNCERTAIN",1,0)-IF($AF6<>"",1,0)-IF($AG6<>"",1,0)+IF(CALC!$Z6>=6,1,0))))'
ENGINE	AI7	'=IF($A7="","",IF($AH7<>"","BLOCKED",IF(CALC!$S7=1,"PENDING LINE",IF(CALC!$Q7=1,"STALE LINE",IF($AE7="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF7<>"",AND($G7="FCS",$I7=""),AND($H7="FCS",$J7="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B7="",$C7=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A7="","",IF($AH7<>"","BLOCKED",IF($AG7<>"","FCS — NO PLAY",IF(CALC!$S7=1,"PENDING LINE",IF(CALC!$Q7=1,"STALE LINE",IF($AE7="QB UNCERTAIN","QB UNCERTAIN",IF($AF7<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B7="",$C7=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ7	'=IF(OR($AI7="",$AI7="BLOCKED",$AI7="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z7<SETTINGS!$B$24,1,0)-IF($AE7="QB UNCERTAIN",1,0)-IF($AF7<>"",1,0)-IF($AG7<>"",1,0)+IF(CALC!$Z7>=6,1,0))))'	'=IF(OR($AI7="",$AI7="BLOCKED",$AI7="PENDING LINE",$AI7="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z7<SETTINGS!$B$24,1,0)-IF($AE7="QB UNCERTAIN",1,0)-IF($AF7<>"",1,0)-IF($AG7<>"",1,0)+IF(CALC!$Z7>=6,1,0))))'
ENGINE	AI8	'=IF($A8="","",IF($AH8<>"","BLOCKED",IF(CALC!$S8=1,"PENDING LINE",IF(CALC!$Q8=1,"STALE LINE",IF($AE8="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF8<>"",AND($G8="FCS",$I8=""),AND($H8="FCS",$J8="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B8="",$C8=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A8="","",IF($AH8<>"","BLOCKED",IF($AG8<>"","FCS — NO PLAY",IF(CALC!$S8=1,"PENDING LINE",IF(CALC!$Q8=1,"STALE LINE",IF($AE8="QB UNCERTAIN","QB UNCERTAIN",IF($AF8<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B8="",$C8=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ8	'=IF(OR($AI8="",$AI8="BLOCKED",$AI8="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z8<SETTINGS!$B$24,1,0)-IF($AE8="QB UNCERTAIN",1,0)-IF($AF8<>"",1,0)-IF($AG8<>"",1,0)+IF(CALC!$Z8>=6,1,0))))'	'=IF(OR($AI8="",$AI8="BLOCKED",$AI8="PENDING LINE",$AI8="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z8<SETTINGS!$B$24,1,0)-IF($AE8="QB UNCERTAIN",1,0)-IF($AF8<>"",1,0)-IF($AG8<>"",1,0)+IF(CALC!$Z8>=6,1,0))))'
ENGINE	AI9	'=IF($A9="","",IF($AH9<>"","BLOCKED",IF(CALC!$S9=1,"PENDING LINE",IF(CALC!$Q9=1,"STALE LINE",IF($AE9="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF9<>"",AND($G9="FCS",$I9=""),AND($H9="FCS",$J9="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B9="",$C9=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A9="","",IF($AH9<>"","BLOCKED",IF($AG9<>"","FCS — NO PLAY",IF(CALC!$S9=1,"PENDING LINE",IF(CALC!$Q9=1,"STALE LINE",IF($AE9="QB UNCERTAIN","QB UNCERTAIN",IF($AF9<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B9="",$C9=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ9	'=IF(OR($AI9="",$AI9="BLOCKED",$AI9="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z9<SETTINGS!$B$24,1,0)-IF($AE9="QB UNCERTAIN",1,0)-IF($AF9<>"",1,0)-IF($AG9<>"",1,0)+IF(CALC!$Z9>=6,1,0))))'	'=IF(OR($AI9="",$AI9="BLOCKED",$AI9="PENDING LINE",$AI9="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z9<SETTINGS!$B$24,1,0)-IF($AE9="QB UNCERTAIN",1,0)-IF($AF9<>"",1,0)-IF($AG9<>"",1,0)+IF(CALC!$Z9>=6,1,0))))'
