sheet,cell,classification,old,new
START HERE,A1,CUMULATIVE,TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.6.2 PHASE 6.2 DATA-INCOMPLETE PATHWAY REPAIR — PENDING APPROVAL),"TO THE WINDOW — NCAAF POWER RATINGS 2026 (v0.7.9 FINAL QB-VERIFICATION CANDIDATE — backlog 0, audit-trail gap 0; all 74 Tier-1 records verified and stamped; Missouri M->H, North Carolina and UNLV M->L; NOT AUTHORITATIVE, NOT PROMOTED — awaiting owner approval)"
QB VALUES,E6,CUMULATIVE,,Keelon Russell
QB VALUES,H6,CUMULATIVE,,L
QB VALUES,I6,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J6,CUMULATIVE,,2026
QB VALUES,K6,CUMULATIVE,,2026-08-04 00:00:00
QB VALUES,L6,CUMULATIVE,,"VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp QB intel (2026-08-04) confirms the entry - Keelon Russell (2nd-year freshman, former No. 2 overall recruit) vs Austin Mack (RS junior, system experience). Russell only SLIGHTLY favored (characterized as 55-45 to 60-40); status UNDECIDED with the competition ongoing into fall camp; 'Russell will have to improve his consistency' to secure the job. Genuine competition, no leader established by the staff -> L retained; values blank; UNCERTAIN."
QB VALUES,C7,CUMULATIVE,,KJ Jackson
QB VALUES,E7,CUMULATIVE,,Open (KJ Jackson / AJ Hill)
QB VALUES,H7,CUMULATIVE,,L
QB VALUES,I7,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J7,CUMULATIVE,,2026
QB VALUES,K7,CUMULATIVE,,2026-08-03 00:00:00
